项目名称,区域,地址,户型,最低租金,最高租金,最小面积,最大面积,联系电话,核对状态,匹配依据,供应状态,公示可供摘要,公示可供套数,公示户型面积,平均租金元每平方米,租金口径,运营机构,微信公众号,source_title,source_url
金鹤新城水岸金桥苑,嘉定区,鹤霞路555弄,一居室、二居室,2383,3137,55.92,73.61,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:55.92~57；二居室:72.75~73.61,42.62,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
金鹤新城城杰苑,嘉定区,鹤霞路600弄,一居室、二居室,2189,3275,52.64,78.74,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:52.64~52.91；二居室:72~78.74,41.59,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
金鹤新城双佳翠庭,嘉定区,金园一路1118弄,一居室、二居室,2282,3192,54.01,75.53,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:54.01~54.86；二居室:74.36~75.53,42.26,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
昱龙家园(南区),浦东新区,康达路508弄,一居室、二居室,1891,2794,54.85,81.05,20920337,新增候选,无唯一匹配,公示可供为0,0,0,一居室:54.85~59.34；二居室:73.77~81.05,34.47,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
安阁苑(中区),浦东新区,瑞阳路693弄,一居室、二居室,1729,2487,53.4,76.82,20938069,新增候选,无唯一匹配,公示可供为0,0,0,一居室:53.4~59.47；二居室:68.57~76.82,32.38,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
体育花苑,徐汇区,老沪闵路728弄47号,二居室,3825,3825,66.08,66.08,39190373,新增候选,无唯一匹配,公示可供为0,0,0,二居室:66.08,57.88,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
驰骋苑,静安区,景凤路205弄3号,一居室,2125,2125,42.73,42.73,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:42.73,49.73,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
宜川三村小区,普陀区,宜川三村99号,一居室,2720,2720,49.53,49.53,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:49.53,54.91,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
曹杨九村金杨园,普陀区,曹杨九村40号,一居室,3230,3230,42.93,42.93,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:42.93,75.23,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
真建一小区,普陀区,桃浦路1108弄14号,一居室,2295,2295,41.92,41.92,39190373,新增候选,无唯一匹配,公示可供为0,0,0,一居室:41.92,54.74,估算：最小/最大面积 × 平均租金/㎡,上海地矿物业管理有限公司,,市筹公共租赁住房（公积金房源）信息（2026年8月）,https://fgj.sh.gov.cn/ggzlzfgsgg/20260812/4c2e9a0afbe84ddd827136cb576d0b21.html
